,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
321,delta del tigre,UY,0,1520463600,60,-34.76,-56.41,68,4.7
322,komsomolskiy,RU,32,1520468881,81,67.55,63.78,14.4,11.27
323,strezhevoy,RU,90,1520467200,91,60.73,77.6,1.4,4.47
324,loukhi,RU,24,1520468881,58,66.08,33.04,-6.35,2.33
325,bealanana,MG,92,1520468882,99,-14.54,48.75,65.11,2.21
326,pailon,BO,75,1520463600,65,-17.66,-62.72,82.4,3.36
327,zelenoborsk,RU,64,1520468883,66,61.47,64.05,7.96,10.38
328,marsabit,KE,76,1520468883,83,2.34,37.99,69.34,2.59
329,phalombe,MW,64,1520468884,97,-15.81,35.65,65.38,2.71
330,paamiut,GL,0,1520468884,100,61.99,-49.67,22.45,17.36
331,malur,IN,0,1520465400,100,13.01,77.94,59,5.01
332,barranca,PE,12,1520468885,93,-10.75,-77.76,67.95,5.12
333,paducah,US,40,1520466900,55,37.08,-88.6,39.2,3.36
334,yertsevo,RU,8,1520468886,48,60.8,40.09,-16.48,3
335,les cayes,HT,0,1520468887,100,18.19,-73.75,78.03,9.82
336,tibiri,NE,0,1520468887,50,13.59,7.06,70.69,4.9
337,zarya,RU,76,1520468887,93,45.67,39.64,50.26,15.57
338,menongue,AO,44,1520468888,89,-14.66,17.68,64.17,3.83
339,okitipupa,NG,20,1520468889,89,6.5,4.78,78.16,3.83
340,samana,EC,40,1520463600,83,0.12,-76.97,80.6,2.24
341,kaoma,ZM,56,1520468890,77,-14.8,24.8,70.15,4.27
342,pervouralsk,RU,56,1520467200,71,56.9,59.94,5,17.9
343,herat,AF,64,1520468890,79,34.35,62.22,44.14,2.89
344,masalli,KR,90,1520463600,93,34.8,126.66,37.4,16.11
345,buriti alegre,BR,8,1520468892,88,-18.14,-49.04,74.29,3.27
346,lima duarte,BR,40,1520463600,83,-21.84,-43.79,71.6,4.7
347,cenade,RO,40,1520467200,75,46.06,24.01,37.4,3.36
348,murgab,TM,90,1520463600,66,37.5,61.97,50,9.17
349,waynesboro,US,90,1520466900,56,35.32,-87.76,71.6,12.75
350,amasya,TR,40,1520466600,54,40.65,35.83,59,11.41
351,kerouane,GN,0,1520468895,62,12.23,-12.34,69.43,2.37
352,chivilcoy,AR,0,1520468895,38,-34.9,-60.02,69.97,8.81
353,chicama,PE,20,1520463600,88,-7.84,-79.15,68,9.17
354,dolores,AR,0,1520468896,72,-36.31,-57.68,67.05,1.7
355,tsumeb,NA,36,1520468897,87,-19.25,17.72,61.96,2.82
356,koulamoutou,GA,12,1520468897,97,-1.13,12.47,71.1,1.99
357,dire,ET,0,1520468898,87,9.18,38.92,44.73,2.71
358,kayerkan,RU,80,1520468899,83,69.35,87.76,-5.45,2.89
359,bilma,NE,0,1520468899,28,18.69,12.92,66.28,6.35
360,novaya malykla,RU,88,1520468900,84,54.21,49.93,9.45,9.15
361,prainha,BR,76,1520468900,99,-1.8,-53.48,75.78,4.23
362,cienfuegos,CU,0,1520466600,64,22.15,-80.44,77,10.29
363,santa isabel do rio negro,BR,48,1520468902,93,-0.41,-65.02,77.26,2.55
364,bereda,ES,0,1520467200,70,43.27,-7.54,48.2,12.75
365,kargasok,RU,36,1520468902,62,59.06,80.87,9.58,8.75
366,goba,ET,0,1520468903,84,7.01,39.97,44.5,3.83
367,gualaco,HN,20,1520463600,51,15.03,-86.07,82.4,6.93
368,severnyy-kospashskiy,RU,64,1520468904,71,59.09,57.8,8.37,18.81
369,ballina,IE,88,1520468904,100,54.11,-9.15,38.43,13.89
370,vera cruz,BR,75,1520463600,88,-22.22,-49.82,78.8,6.93
371,bara,NG,8,1520468905,29,10.41,10.6,76.23,5.79
372,gobabis,NA,76,1520463600,88,-22.45,18.97,69.8,2.24
373,tivaouane,SN,0,1520468906,71,14.95,-16.81,68.4,9.93
374,charyshskoye,RU,64,1520468906,76,51.4,83.56,18.45,14.9
375,santander,PH,48,1520468907,94,9.42,123.33,80.5,13.29
376,high rock,BS,40,1520467200,60,26.63,-78.28,69.8,8.05
377,lidkoping,SE,88,1520466600,86,58.51,13.16,30.2,12.75
378,lisakovsk,KZ,0,1520468909,67,52.55,62.49,2.25,12.55
379,middleton,CA,90,1520467200,64,44.94,-65.07,35.6,18.34
380,gravdal,NO,90,1520466600,100,59.79,5.78,33.8,9.17
381,nakskov,DK,92,1520468620,100,54.84,11.13,32.62,4.61
382,chingirlau,KZ,64,1520468911,79,51.09,54.08,8.95,9.04
383,wilmington,US,90,1520467800,92,39.75,-75.55,35.6,10.29
384,melo,UY,0,1520468912,51,-32.37,-54.17,66.37,9.93
385,challans,FR,0,1520467200,93,46.85,-1.88,42.8,8.05
